,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y,金額_x,金額_y
不影響現金流量之收益費損項目合計,12108.0,82737.0,103034.0,147722.0,37587.0,67276.0,94656.0,31258.0,,,,,,,,
償還長期借款,-108000.0,-150000.0,-705000.0,-965000.0,-610000.0,-640000.0,-670000.0,-850000.0,-30000.0,-410000.0,-580000.0,-721000.0,-35000.0,-135000.0,-142000.0,-220000.0
其他應付款增加（減少）,-80730.0,8616.0,-53112.0,10368.0,-46506.0,-28140.0,-93511.0,-42535.0,-34353.0,-24412.0,-61208.0,5089.0,-33514.0,-2754.0,-19458.0,32812.0
其他應收款增加,,,,,-51749.0,,,,,,,,,,,
其他應收款減少,,48885.0,34930.0,60568.0,0.0,-61887.0,-60816.0,-51525.0,2234.0,3290.0,-56666.0,4282.0,2067.0,-1723.0,-22994.0,-22676.0
其他應收款－關係人減少,29955.0,,,,,,,,,,,,,,,
其他應收款－關係人（增加）減少,-21081.0,-11136.0,2672.0,-9103.0,-20879.0,-14789.0,-33399.0,5171.0,-14668.0,-25288.0,5882.0,7087.0,-19729.0,-18985.0,-15908.0,23516.0
其他投資活動,,147534.0,149968.0,144645.0,0.0,-1202.0,135966.0,142250.0,,,0.0,0.0,,,,
其他流動負債增加（減少）,898.0,-40413.0,6517.0,9492.0,-8561.0,-9150.0,5342.0,2426.0,18358.0,14488.0,-1043.0,16964.0,-30476.0,-30716.0,-24030.0,11540.0
其他流動資產（增加）減少,-30248.0,-35819.0,-20187.0,,,,,,,,,,,,,
其他營業負債增加（減少）,525.0,3584.0,-5944.0,-15277.0,-2590.0,-5514.0,-8310.0,-14256.0,-2957.0,-6765.0,-9962.0,-14014.0,-191175.0,-191042.0,-189875.0,-143176.0
其他營業資產（增加）減少,4478.0,-313.0,,,,,,,,,,,,,,
其他籌資活動,,,,,,,,-1133.0,,,,,,,-4328.0,-4328.0
其他金融資產增加,,,,,-6143.0,,,,8448.0,3021.0,-12202.0,-13778.0,8870.0,14339.0,14636.0,15028.0
其他金融資產減少,2714.0,,,,0.0,-11271.0,-6117.0,,,,,,,,,
其他金融資產（增加）減少,0.0,,,,,,,,,,,,,,,
其他非流動負債增加,144818.0,,,,,,,,,,,,,,,
其他非流動資產增加,,,,,-918.0,,,,-270.0,-1837.0,,-2631.0,,,,-11700.0
其他非流動資產減少,,,12352.0,20139.0,0.0,8011.0,19215.0,9141.0,,,0.0,,5383.0,9111.0,4573.0,
其他項目,-17996.0,-4755.0,0.0,7559.0,-8834.0,-10052.0,-41791.0,-44413.0,1396.0,7089.0,1799.0,-7607.0,351.0,4802.0,-2532.0,-3193.0
其他預付款項減少,3362.0,,,,,,,,,,,,,,,
利息收入,-2654.0,-4267.0,-6087.0,-21039.0,-1630.0,-8623.0,-12876.0,-26443.0,-3140.0,-5864.0,-9098.0,-17365.0,-1697.0,-5074.0,-8425.0,-15777.0
利息費用,10014.0,19565.0,31311.0,41111.0,11243.0,23081.0,34440.0,44807.0,9639.0,19506.0,28745.0,38528.0,8773.0,17841.0,27904.0,36038.0
匯率變動對現金及約當現金之影響,3822.0,-1473.0,11594.0,3696.0,2098.0,-4592.0,-1128.0,25645.0,-4462.0,-11350.0,11851.0,-5467.0,-6750.0,-25949.0,-23481.0,-9045.0
取得不動產、廠房及設備,-236369.0,-313867.0,-600569.0,-788234.0,-92862.0,-198374.0,-230309.0,-289128.0,-70560.0,-120873.0,-182170.0,-308878.0,-25886.0,-64331.0,-89294.0,-148920.0
取得以成本衡量之金融資產,,,,,,,-15000.0,-15000.0,,,-15000.0,-15000.0,0.0,0.0,0.0,0.0
取得投資性不動產,,,,,-1202.0,,,-1202.0,,0.0,0.0,0.0,,,,
取得無活絡市場之債務工具投資,,,,,,,,,,,,-20000.0,,,,
呆帳費用提列（轉列收入）數,1570.0,1570.0,4809.0,10686.0,2598.0,2432.0,3425.0,-758.0,-1569.0,-580.0,-563.0,-3751.0,2794.0,2722.0,3547.0,2812.0
存入保證金增加,7448.0,8140.0,5476.0,9950.0,2388.0,-1349.0,-1792.0,1630.0,-1936.0,2464.0,1386.0,899.0,-2296.0,-9980.0,,-11077.0
存入保證金減少,,,,,,,,,,,,,,,-9968.0,
存出保證金增加,-496.0,,-2362.0,-7411.0,0.0,9980.0,11013.0,7910.0,,626.0,,-6584.0,137.0,5282.0,2622.0,3021.0
存出保證金減少,,282.0,,,5677.0,,,,534.0,,-1353.0,,,,,0.0
存貨（增加）減少,32112.0,-19267.0,-73303.0,-152129.0,27784.0,-71112.0,-76074.0,-79745.0,3112.0,-37581.0,43658.0,59503.0,121001.0,43810.0,-42271.0,-156777.0
對子公司之收購（扣除所取得之現金）,,,,,,,,,,,,,,-7783.0,-7783.0,-7783.0
應付帳款增加（減少）,20851.0,-82695.0,50891.0,79633.0,21030.0,15173.0,-16812.0,2607.0,32920.0,452.0,16212.0,37896.0,15998.0,25383.0,46801.0,56021.0
應付短期票券增加,-66955.0,,,,207076.0,,,,,86022.0,-54978.0,,,,,42000.0
應付短期票券減少,,-86955.0,-116955.0,-54031.0,0.0,35076.0,35076.0,-9945.0,-1146.0,,,-198984.0,0.0,-11000.0,11000.0,
應付票據增加（減少）,-8950.0,4832.0,7640.0,4833.0,30749.0,59031.0,28578.0,-29346.0,-41000.0,-13028.0,48142.0,68999.0,-42032.0,-67046.0,-64529.0,-62025.0
應收帳款（增加）減少,10595.0,-75557.0,-54748.0,-32178.0,-8437.0,-1306.0,28917.0,-10360.0,-16155.0,12305.0,-30737.0,-61678.0,-51915.0,-6292.0,-6499.0,-93443.0
應收票據（增加）減少,-34931.0,18250.0,27270.0,22764.0,3696.0,34950.0,63160.0,70631.0,-56305.0,-59211.0,-30128.0,-223.0,-73990.0,-70173.0,-28178.0,-51249.0
應計退休金負債增加（減少）,-381.0,,,,,,,,,,,,,,,
投資活動之淨現金流入（流出）,-201006.0,-116954.0,-405435.0,-569341.0,-137587.0,-245133.0,-136304.0,-46292.0,-29604.0,-85751.0,2068.0,-83293.0,-8232.0,-33879.0,-92487.0,-162185.0
折舊費用,46384.0,94473.0,143455.0,193047.0,48871.0,99543.0,157611.0,217112.0,59824.0,119710.0,179649.0,246707.0,62681.0,124584.0,186483.0,251245.0
持有至到期日金融資產到期還本,,,,0.0,,,,,,,,,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,-25537.0,-49176.0,-63884.0,-77219.0,-12896.0,-31135.0,-38438.0,-54007.0,-52704.0,-69956.0,-96055.0,-128082.0,-24852.0,-46197.0,-63153.0,-85354.0
攤銷費用,162.0,328.0,587.0,771.0,171.0,335.0,502.0,1249.0,423.0,874.0,1331.0,2006.0,495.0,858.0,1207.0,1689.0
支付之利息,-14151.0,-19565.0,-30873.0,-40862.0,-11244.0,-23409.0,-34373.0,-44261.0,-9990.0,-20473.0,-29450.0,-36046.0,-8752.0,-18035.0,-28213.0,-36214.0
收取之利息,1606.0,3505.0,5923.0,21629.0,3010.0,9062.0,10847.0,26391.0,3162.0,5884.0,9121.0,17081.0,1995.0,5384.0,8708.0,16061.0
收取之股利,,,58047.0,76689.0,,32184.0,49515.0,49515.0,,37971.0,46637.0,46637.0,,40272.0,66268.0,66268.0
收益費損項目合計,,,,,,,,,13869.0,59766.0,58103.0,113908.0,48403.0,90290.0,135258.0,176985.0
期初現金及約當現金餘額,716836.0,716836.0,716836.0,716836.0,818655.0,818655.0,818655.0,818655.0,795907.0,795907.0,795907.0,795907.0,701797.0,701797.0,701797.0,701797.0
期末現金及約當現金餘額,767564.0,760900.0,788958.0,818655.0,783401.0,655571.0,802577.0,795907.0,682285.0,692939.0,722835.0,701797.0,736332.0,709362.0,684853.0,628746.0
本期現金及約當現金增加（減少）數,50728.0,44064.0,72122.0,101819.0,-35254.0,-163084.0,-16078.0,-22748.0,-113622.0,-102968.0,-73072.0,-94110.0,34535.0,7565.0,-16944.0,-73051.0
本期稅前淨利（淨損）,51844.0,159091.0,247522.0,326583.0,88557.0,215318.0,293527.0,432874.0,122450.0,262732.0,403204.0,450329.0,127893.0,262632.0,344340.0,387404.0
營業活動之淨現金流入（流出）,-74376.0,-9818.0,230423.0,402583.0,96496.0,226244.0,268953.0,330409.0,-9947.0,149624.0,316903.0,554847.0,-144201.0,42014.0,145543.0,194220.0
營運產生之現金流入（流出）,-46552.0,18615.0,232005.0,398390.0,111292.0,245471.0,295178.0,362497.0,-1261.0,180885.0,389044.0,645790.0,-135629.0,30811.0,126366.0,188903.0
發放現金股利,,,-149041.0,-149041.0,,,-149041.0,-149041.0,,,-178849.0,-178849.0,0.0,0.0,-178849.0,-178849.0
短期借款增加,,,,,,,,,,,,,,,,15213.0
短期借款減少,-5023.0,-8876.0,446060.0,468003.0,-325725.0,-263330.0,-280709.0,-244021.0,-206527.0,-3977.0,-158682.0,-174492.0,110014.0,60359.0,16626.0,
籌資活動之淨現金流入（流出）,322288.0,172309.0,235540.0,264881.0,3739.0,-139603.0,-147599.0,-332510.0,-69609.0,-155491.0,-403894.0,-560197.0,193718.0,25379.0,-46519.0,-96041.0
繼續營業單位稅前淨利（淨損）,51844.0,159091.0,247522.0,326583.0,88557.0,215318.0,293527.0,432874.0,122450.0,262732.0,403204.0,450329.0,127893.0,262632.0,344340.0,387404.0
股利收入,,24834.0,-7216.0,-7216.0,,-6351.0,-6351.0,-6351.0,0.0,-11013.0,-11013.0,-11013.0,0.0,-9091.0,-9091.0,-9091.0
與營業活動相關之負債之淨變動合計,-67787.0,-106076.0,5992.0,89049.0,-5878.0,31400.0,-84713.0,-81104.0,-27032.0,-29265.0,-57839.0,69112.0,-275061.0,-256738.0,-241222.0,-89871.0
與營業活動相關之資產之淨變動合計,-42717.0,-117137.0,-124543.0,-164964.0,-8974.0,-68523.0,-8292.0,-20531.0,-110548.0,-112348.0,-14424.0,12441.0,-36864.0,-65373.0,-112010.0,-285615.0
與營業活動相關之資產及負債之淨變動合計,-110504.0,-223213.0,-118551.0,-75915.0,-14852.0,-37123.0,-93005.0,-101635.0,-137580.0,-141613.0,-72263.0,81553.0,-311925.0,-322111.0,-353232.0,-375486.0
舉借長期借款,350000.0,410000.0,755000.0,955000.0,730000.0,730000.0,920000.0,920000.0,150000.0,150000.0,550000.0,695000.0,121000.0,121000.0,261000.0,261000.0
處分不動產、廠房及設備,-172.0,212.0,246.0,952.0,5514.0,5514.0,5648.0,13177.0,10.0,22.0,239459.0,249296.0,1197.0,1226.0,1753.0,2845.0
處分以成本衡量之金融資產,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0
處分備供出售金融資產,,,,,4096.0,4096.0,4096.0,168085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
處分及報廢不動產、廠房及設備損失（利益）,165.0,165.0,59.0,22.0,-1193.0,-1211.0,-1123.0,-1739.0,0.0,0.0,-36692.0,-36262.0,-142.0,-155.0,-682.0,-1384.0
處分投資損失（利益）,,0.0,0.0,0.0,-743.0,-743.0,-743.0,-98199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
處分無活絡市場之債務工具投資,,,,,,,,,,,,,,10000.0,4000.0,8000.0
調整項目合計,-98396.0,-140476.0,-15517.0,71807.0,22735.0,30153.0,1651.0,-70377.0,-123711.0,-81847.0,-14160.0,195461.0,-263522.0,-231821.0,-217974.0,-198501.0
負債準備增加（減少）,,,,,,,,,,,-49980.0,-45822.0,6138.0,9437.0,9869.0,14957.0
資產負債表帳列之現金及約當現金,767564.0,760900.0,788958.0,818655.0,783401.0,655571.0,802577.0,795907.0,682285.0,692939.0,722835.0,701797.0,736332.0,709362.0,684853.0,628746.0
退還（支付）之所得稅,-15279.0,-12373.0,-34679.0,-53263.0,-6562.0,-37064.0,-52214.0,-63733.0,-1858.0,-54643.0,-98449.0,-118615.0,-1815.0,-16418.0,-27586.0,-40798.0
金融資產減損損失,,,,,,,,,,,,30747.0,,,,0.0
非控制權益變動,,,,,,,-1133.0,,20000.0,20000.0,17229.0,17229.0,0.0,0.0,0.0,0.0
預付投資款增加,,,,,,,,-30000.0,,30000.0,,,0.0,0.0,0.0,
預付投資款減少,,,,,,,,,30000.0,,30000.0,30000.0,,,,0.0
預付款項（增加）減少,-3642.0,6705.0,-6247.0,5682.0,-11138.0,-16266.0,9104.0,-6228.0,-26532.0,-2573.0,-3099.0,7752.0,-12231.0,-13733.0,-19154.0,-7662.0
